strain,selection,genotype,e0,off.per.hr_50.50,off.per.hr_46.50,A_50.50,A_46.50,lag_50.50,lag_46.50,anc.off.per.hr,anc.e0,off.per.hr.matched,deltal,deltar,deltar.50.50
4,L,pmr1,4.200316726,0.515498983,0.515162354,3.040566667,3.0658,11.793,10.80983333,0.529778229,2.653540408,0.515162354,1.546776318,-0.014615875,-0.014279246
4,L,pmr1,4.999402494,0.476954981,0.465581735,3.0731,3.110783333,13.91295,13.34451667,0.529778229,2.653540408,0.465581735,2.345862087,-0.064196494,-0.052823248
5,L,sch9,3.353245033,0.553345683,0.477315654,3.089166667,2.778683333,10.03308333,12.4813,0.449646824,3.646673218,0.477315654,-0.293428185,0.02766883,0.103698859
5,L,sch9,2.542752525,0.574216671,0.538846598,3.05775,2.933816667,9.846016667,9.9565,0.449646824,3.646673218,0.538846598,-1.103920693,0.089199773,0.124569847
5,L,sch9,5.719225879,0.537476037,0.527641666,2.848116667,2.697933333,11.03363333,11.68368333,0.449646824,3.646673218,0.527641666,2.072552661,0.077994842,0.087829213
5,L,sch9,5.480363382,0.567892858,0.544425019,2.8704,2.75805,11.07223333,10.5898,0.449646824,3.646673218,0.544425019,1.833690164,0.094778194,0.118246034
5,L,sch9,2.257099765,0.533388402,0.490660583,2.825933333,2.639716667,9.348316667,9.69915,0.449646824,3.646673218,0.490660583,-1.389573453,0.041013759,0.083741577
9,L,ypt6,10.00446313,0.702496305,0.687420142,3.097133333,3.0069,10.33505,10.66101667,0.477903037,4.147585939,0.687420142,5.856877187,0.209517105,0.224593268
9,L,ypt6,10.2667029,0.694465303,0.683452731,3.050266667,2.9309,10.4256,9.240883333,0.477903037,4.147585939,0.683452731,6.119116959,0.205549693,0.216562266
9,L,ypt6,5.790947053,0.591625191,0.523025042,3.0791,3.118216667,10.98611667,10.79433333,0.477903037,4.147585939,0.523025042,1.643361114,0.045122005,0.113722154
9,L,ypt6,5.459665468,0.493666198,0.462311626,3.37815,3.042166667,10.16626667,10.46493333,0.477903037,4.147585939,0.462311626,1.312079528,-0.015591411,0.015763161
9,L,ypt6,3.635929424,0.682731383,0.686915199,2.9981,2.965933333,9.913833333,8.686233333,0.477903037,4.147585939,0.686915199,-0.511656515,0.209012162,0.204828346
11,L,tor1,9.188038268,0.67924487,0.693647776,3.2416,3.12745,10.38406667,8.210583333,0.690288357,3.1103613,0.693647776,6.077676968,0.003359418,-0.011043487
11,L,tor1,13.1705336,0.693743955,0.686025537,3.184816667,3.049016667,10.91265,7.58945,0.690288357,3.1103613,0.686025537,10.0601723,-0.00426282,0.003455598
11,L,tor1,16.30167663,0.694777887,0.720457859,3.114683333,3.10415,10.07665,8.231366667,0.690288357,3.1103613,0.720457859,13.19131533,0.030169501,0.00448953
11,L,tor1,11.60722058,0.702736754,0.690810475,3.14835,2.990383333,10.16693333,8.98245,0.690288357,3.1103613,0.690810475,8.496859276,0.000522118,0.012448397
11,L,tor1,7.914146231,0.702135631,0.68956014,3.113233333,3.031916667,10.89638333,8.9525,0.690288357,3.1103613,0.68956014,4.803784931,-0.000728217,0.011847274
16,L,tif2,4.984010389,0.673089371,0.626081558,3.121516667,3.1641,10.25456667,11.54378333,0.681405478,4.241732325,0.626081558,0.742278064,-0.05532392,-0.008316106
16,L,tif2,7.458462967,0.699322376,0.666885783,3.106816667,2.965566667,10.46188333,10.10076667,0.681405478,4.241732325,0.666885783,3.216730642,-0.014519695,0.017916898
16,L,tif2,8.711493902,0.633343123,0.671286003,3.144583333,3.125516667,11.0434,10.79426667,0.681405478,4.241732325,0.671286003,4.469761577,-0.010119475,-0.048062355
16,L,tif2,6.3946765,0.581237787,0.584459806,3.2474,3.1469,11.65305,11.48515,0.681405478,4.241732325,0.584459806,2.152944174,-0.096945672,-0.100167691
16,L,tif2,8.020079932,0.531753347,0.480417449,3.03995,3.097816667,11.84573333,15.28613333,0.681405478,4.241732325,0.480417449,3.778347607,-0.200988029,-0.149652131
19,L,JD174,4.763171114,0.669146005,0.61817078,3.129833333,2.99505,9.81175,9.078133333,0.706158003,5.754412658,0.654093887,-0.991241544,-0.052064116,-0.037011998
19,L,JD174,8.634074834,0.473107794,0.494050917,3.2216,3.209083333,9.460766667,7.99145,0.706158003,5.754412658,0.520596506,2.879662176,-0.185561497,-0.233050209
19,L,JD174,6.048683946,0.664481291,0.659191409,3.098183333,3.06935,10.82966667,8.624716667,0.706158003,5.754412658,0.638224241,0.294271288,-0.067933761,-0.041676712
19,L,JD174,5.737991408,0.565320052,0.531969751,3.155583333,3.135116667,10.58613333,10.58491667,0.706158003,5.754412658,0.569119149,-0.01642125,-0.137038854,-0.140837951
19,L,JD174,6.547787764,0.618868083,0.655777031,3.265933333,3.182533333,12.6059,10.6718,0.706158003,5.754412658,0.627259759,0.793375106,-0.078898244,-0.08728992
0,L,BY4742,6.758552736,0.685712953,0.662870281,3.043616667,3.011583333,10.73548333,10.31043333,0.694369123,1.987391586,0.662870281,4.771161151,-0.031498842,-0.00865617
0,L,BY4742,6.708208174,0.672464203,0.619805834,3.206483333,3.313716667,10.97248333,9.041916667,0.694369123,1.987391586,0.619805834,4.720816589,-0.074563289,-0.02190492
0,L,BY4742,9.343478261,0.6705887,0.645221312,2.953,3.313716667,12.3325,9.1984,0.694369123,1.987391586,0.645221312,7.356086675,-0.049147811,-0.023780423
0,L,BY4742,10.07524096,0.690257442,0.684486662,3.019966667,2.970216667,10.77803333,10.45348333,0.694369123,1.987391586,0.684486662,8.087849378,-0.009882461,-0.004111681
0,L,BY4742,12.8745859,0.612207641,0.655055683,3.07915,2.955783333,9.912616667,9.751933333,0.694369123,1.987391586,0.655055683,10.88719432,-0.03931344,-0.082161483
2,Anc,rpl19a,3.966526375,0.564856328,0.564856328,-9,-9,-9,-9,0.564856328,3.966526375,0.564856328,0,0,0
4,Anc,pmr1,2.653540408,0.529778229,0.529778229,-9,-9,-9,-9,0.529778229,2.653540408,0.529778229,0,0,0
5,Anc,sch9,3.646673218,0.449646824,0.449646824,-9,-9,-9,-9,0.449646824,3.646673218,0.449646824,0,0,0
9,Anc,ypt6,4.147585939,0.477903037,0.477903037,-9,-9,-9,-9,0.477903037,4.147585939,0.477903037,0,0,0
11,Anc,tor1,3.1103613,0.690288357,0.690288357,-9,-9,-9,-9,0.690288357,3.1103613,0.690288357,0,0,0
16,Anc,tif2,4.241732325,0.681405478,0.681405478,-9,-9,-9,-9,0.681405478,4.241732325,0.681405478,0,0,0
19,Anc,JD174,5.754412658,0.706158003,0.706158003,-9,-9,-9,-9,0.706158003,5.754412658,0.706158003,0,0,0
0,Anc,BY4742,1.987391586,0.694369123,0.694369123,-9,-9,-9,-9,0.694369123,1.987391586,0.694369123,0,0,0
