Genotype,Evo.trt,ontology.aspect,order,GOID,TERM,CORRECTED_PVALUE,UNCORRECTED_PVALUE,NUM_LIST_ANNOTATIONS,LIST_SIZE,TOTAL_NUM_ANNOTATIONS,POPULATION_SIZE,FDR_RATE,EXPECTED_FALSE_POSITIVES,ANNOTATED_GENES
all.pooled,NL,process,12,GO:1901362,organic cyclic compound biosynthetic process,0.001593951,1.72E-06,50,171,1090,7166,0.00%,0,"YJL109C, YML010W, YOL061W, YDR145W, YML069W, YPL167C, YDR173C, YGR134W, YPL190C, YOR372C, YLR035C-A, YKR019C, YDR232W, YCR093W, YKL010C, YPR008W, YLR450W, YPL016W, YOR141C, YML060W, YGR116W, YLR318W, YGL058W, YKL028W, YGL066W, YML091C, YBR150C, YDR174W, YGR204W, YDL185W, YCR084C, YOR341W, YIL149C, YMR179W, YKL139W, YLR451W, YCR081W, YBR140C, YNL141W, YGR274C, YMR164C, YKL068W, YNL309W, YCL030C, YDR398W, YML056C, YBR289W, YGL194C, YLR278C, YMR093W"
all.pooled,NL,process,13,GO:0071840,cellular component organization or biogenesis,0.001802725,1.95E-06,89,171,2489,7166,0.00%,0,"YOL155C, YGR014W, YGR274C, YJR138W, YMR205C, YLL031C, YGR023W, YBR289W, YBL022C, YDR080W, YOR373W, YOR341W, YDR174W, YIL112W, YCL031C, YNL271C, YMR179W, YEL040W, YIL149C, YML124C, YKL010C, YCR093W, YMR308C, YPR204W, YGL216W, YDR135C, YGL058W, YPL146C, YLR318W, YGR116W, YOR141C, YEL077C, YGL075C, YMR066W, YML069W, YDR145W, YJR150C, YML010W, YDR232W, YJL020C, YNR020C, YDR219C, YLR320W, YJL092W, YKL068W, YOL017W, YKL164C, YMR093W, YDR309C, YGL194C, YBL079W, YGR092W, YDR398W, YJR065C, YCR084C, YPR055W, YMR124W, YML091C, YER011W, YBR017C, YJR033C, YLR247C, YOL013C, YPL063W, YHR023W, YNL267W, YPL016W, YLL003W, YIR006C, YML103C, YER033C, YGL066W, YKL028W, YML060W, YOL076W, YDR299W, YBR212W, YPR154W, YJR041C, YOL061W, YGR098C, YNL054W, YLR222C, YJL109C, YKR019C, YDR170C, YDR245W, YPL012W, YOR206W"
all.pooled,NL,process,14,GO:0051254,positive regulation of RNA metabolic process,0.004736093,5.11E-06,24,171,365,7166,0.00%,0,"YMR164C, YCR093W, YPL016W, YPR008W, YNL309W, YKL068W, YBR289W, YBR212W, YDR398W, YGL066W, YMR093W, YLR278C, YGR116W, YML069W, YML010W, YJL109C, YML091C, YDR173C, YCR084C, YOR372C, YGR134W, YCR081W, YLR451W, YKL139W"
all.pooled,NL,process,15,GO:0044087,regulation of cellular component biogenesis,0.005222578,5.64E-06,17,171,202,7166,0.00%,0,"YML069W, YML010W, YJR138W, YGL216W, YJR033C, YCR093W, YPR154W, YIR006C, YNL267W, YDR080W, YJR065C, YJL020C, YDR232W, YDR309C, YGL066W, YNL271C, YGR116W"
all.pooled,NL,process,16,GO:0051716,cellular response to stimulus,0.005682787,6.14E-06,50,171,1138,7166,0.00%,0,"YCR084C, YLR247C, YBR223C, YJR090C, YKL139W, YOL013C, YCR081W, YBL051C, YIL169C, YNL267W, YIL149C, YJR131W, YCL052C, YKL068W, YJL092W, YGR014W, YLR320W, YPL051W, YJR138W, YBR140C, YGL194C, YOL081W, YGR023W, YDR309C, YBR101C, YKL213C, YDR080W, YLR383W, YBL022C, YBR289W, YLR207W, YGR092W, YGL100W, YPL167C, YML010W, YOL034W, YML069W, YDR170C, YKR019C, YKL101W, YDR373W, YCR093W, YPL016W, YPR008W, YML103C, YGR116W, YLR310C, YGL058W, YOR141C, YML060W"
all.pooled,NL,process,17,GO:0045893,"positive regulation of transcription, DNA-templated",0.006050446,6.53E-06,23,171,345,7166,0.00%,0,"YNL309W, YKL068W, YPL016W, YPR008W, YCR093W, YMR164C, YGR116W, YLR278C, YGL066W, YMR093W, YDR398W, YBR289W, YDR173C, YCR084C, YML010W, YML091C, YJL109C, YML069W, YKL139W, YCR081W, YLR451W, YGR134W, YOR372C"
all.pooled,NL,process,18,GO:1902680,positive regulation of RNA biosynthetic process,0.006050446,6.53E-06,23,171,345,7166,0.00%,0,"YBR289W, YDR398W, YMR093W, YGL066W, YLR278C, YGR116W, YMR164C, YPL016W, YPR008W, YCR093W, YKL068W, YNL309W, YOR372C, YGR134W, YLR451W, YCR081W, YKL139W, YML069W, YML091C, YJL109C, YML010W, YCR084C, YDR173C"
all.pooled,NL,process,19,GO:1903508,positive regulation of nucleic acid-templated transcription,0.006050446,6.53E-06,23,171,345,7166,0.00%,0,"YOR372C, YGR134W, YLR451W, YCR081W, YKL139W, YML069W, YML091C, YJL109C, YML010W, YCR084C, YDR173C, YBR289W, YDR398W, YMR093W, YGL066W, YLR278C, YGR116W, YMR164C, YPL016W, YPR008W, YCR093W, YKL068W, YNL309W"
all.pooled,NL,process,20,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,0.007254644,7.83E-06,25,171,400,7166,0.00%,0,"YGR116W, YLR278C, YMR093W, YGL066W, YDR398W, YBR212W, YBR289W, YNL309W, YKL068W, YPR008W, YPL016W, YCR093W, YJL092W, YMR164C, YKL139W, YLR451W, YCR081W, YGR134W, YOR372C, YCR084C, YDR173C, YML091C, YJL109C, YML010W, YML069W"
all.pooled,NL,process,21,GO:0033554,cellular response to stress,9.58E-03,1.03E-05,38,171,777,7166,0.00%,0,"YKL139W, YOL013C, YBL051C, YKR019C, YJR131W, YPL167C, YCR084C, YML010W, YOL034W, YLR247C, YBR223C, YJR090C, YML069W, YGL194C, YGR116W, YGR023W, YOL081W, YBR101C, YKL213C, YGL058W, YOR141C, YDR080W, YLR383W, YBL022C, YLR207W, YBR289W, YGL100W, YML060W, YCL052C, YKL068W, YGR014W, YJL092W, YPL016W, YPR008W, YLR320W, YPL051W, YJR138W, YML103C"
