Genotype,Evo.trt,Index,Gene,repsWithMutation,pvalue,padj,significant
ypt6,L,259,YGR207C,2,0.006720179,0.015307075,1
ypt6,L,260,YNL023C,2,0.024640657,0.031570842,1
ypt6,L,261,Q0070,2,0.016427105,0.025904281,1
ypt6,L,262,YEL077C,2,0.020160538,0.028573206,1
ypt6,L,263,YJR127C,2,0.038081015,0.039033041,1
ypt6,L,264,YKR095W,2,0.027067388,0.033540502,1
ypt6,L,265,YKR082W,2,0.036400971,0.038267687,1
ypt6,L,266,YER017C,2,0.027814075,0.033540502,1
ypt6,L,267,YLR175W,2,0.011200299,0.019133844,1
ypt6,L,268,YAR019C,2,0.020907224,0.028573206,1
ypt6,L,269,YHR054C,2,0.005040134,0.014760394,1
ypt6,L,270,YPL083C,2,0.008773567,0.017742291,1
ypt6,L,271,YNR041C,2,0.005600149,0.015307075,1
ypt6,L,272,YGL178W,2,0.035094269,0.037864869,1
ypt6,L,273,YIL142W,2,0.013067015,0.021429905,1
ypt6,L,274,YGL197W,2,0.020720553,0.028573206,1
ypt6,L,275,YNL127W,2,0.004666791,0.014718341,1
ypt6,L,276,YPL111W,2,0.006720179,0.015307075,1
BY4742,NL,277,YBL113C,4,0.000560015,0.010080269,1
BY4742,NL,278,YDR017C,2,0.002053388,0.012320329,1
BY4742,NL,279,YGR134W,2,0.026694045,0.032760874,1
BY4742,NL,280,YIL149C,2,0.045174538,0.049784185,1
BY4742,NL,281,YJR090C,3,0.007280194,0.016531641,1
BY4742,NL,282,YLR318W,3,0.000186672,0.005040134,1
BY4742,NL,283,YMR102C,2,0.007466866,0.016531641,1
BY4742,NL,284,YJR041C,2,0.023893971,0.032453548,1
BY4742,NL,285,YOR341W,2,0.024640657,0.032453548,1
BY4742,NL,286,YGR274C,2,0.005786821,0.014880397,1
BY4742,NL,287,YGR014W,2,0.036774314,0.041371103,1
BY4742,NL,288,YML124C,2,0.009893597,0.017559178,1
BY4742,NL,289,YCL052C,2,0.009146911,0.017559178,1
BY4742,NL,290,YGR289C,2,0.007466866,0.016531641,1
BY4742,NL,291,YJL092W,2,0.021467239,0.030506077,1
BY4742,NL,292,YJR016C,2,0.014000373,0.022235887,1
BY4742,NL,293,YJR150C,2,0.005040134,0.014324593,1
BY4742,NL,294,YML060W,2,0.005600149,0.014880397,1
BY4742,NL,295,YNL309W,2,0.007653537,0.016531641,1
BY4742,NL,296,YAR050W,3,0,0,1
BY4742,NL,297,YKL213C,2,0.012507,0.020466,1
BY4742,NL,298,YML017W,3,0.001866716,0.012320329,1
BY4742,NL,299,YBR101C,2,0.004106776,0.012880343,1
BY4742,NL,300,YGR023W,2,0.004293448,0.012880343,1
BY4742,NL,301,YCR084C,2,0.011013627,0.018585496,1
BY4742,NL,302,YGL075C,2,0.004293448,0.012880343,1
BY4742,NL,303,YPL063W,3,0.000933358,0.010080269,1
BY4742,NL,304,YNR020C,2,0.002426731,0.012880343,1
BY4742,NL,305,YGL100W,2,0.004106776,0.012880343,1
BY4742,NL,306,YOR125C,2,0.00336009,0.012880343,1
BY4742,NL,307,YKR019C,2,0.008213552,0.017058916,1
BY4742,NL,308,YLR222C,2,0.000933358,0.010080269,1
BY4742,NL,309,YLR310C,2,0.020533881,0.029968367,1
BY4742,NL,310,YLR383W,2,0.016427105,0.025344676,1
